,X,id,date,hour,lon,lat,x,y,distppa,colonia,cluster,distlobos,lobos
97,542,49127,2020-03-24,16:00:00,-64.66987,-54.855465,392802.3396,3920014.594,77.2260153545012,1,46,7401.55032330242,0
98,549,49127,2020-03-25,16:00:00,-64.67627,-54.856533,392394.3732,3919885.956,17.5017477191471,1,3,7458.8620374088,0
99,562,49127,2020-03-27,16:00:00,-64.66347,-54.87467,393263.8979,3917887.606,96.6973421466242,1,55,9578.4416110563,0
100,572,49127,2020-03-28,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2,8073.84739289556,0
101,567,49127,2020-03-28,04:00:00,-64.673065,-54.864,392619.9373,3919060.093,2.28913631792007,1,18,8309.29583571468,0
102,576,49127,2020-03-29,04:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32,8427.06451316679,0
103,581,49127,2020-03-29,16:00:00,-64.6816,-54.8576,392055.1048,3919759.041,167.795900352163,1,43,7544.59402643147,0
104,591,49127,2020-03-30,16:00:00,-64.544,-54.725334,400563.0427,3934678.521,16066.2783743408,0,100,579.829335807511,1
105,592,49127,2020-03-31,04:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32,8427.06451316679,0
106,596,49127,2020-03-31,16:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32,8427.06451316679,0
107,601,49127,2020-04-01,04:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32,8427.06451316679,0
108,607,49127,2020-04-01,16:00:00,-64.73067,-54.80747,388767.7705,3925259.733,6055.28149959817,0,103,3259.40479373378,0
109,613,49127,2020-04-02,16:00:00,-64.746666,-54.8544,387869.9525,3920012.871,4236.36022683494,0,107,8041.22590226473,0
110,620,49127,2020-04-03,16:00:00,-64.73493,-54.8064,388491.0564,3925372.011,6321.89672757756,0,113,3418.06443228441,0
111,630,49127,2020-04-04,16:00:00,-64.731735,-54.8064,388696.3873,3925377.089,6190.91310401939,0,104,3246.20014760218,0
112,625,49127,2020-04-04,04:00:00,-64.73067,-54.805332,388761.897,3925497.604,6241.74278103214,0,116,3123.30165820896,0
113,635,49127,2020-04-05,04:00:00,-64.72747,-54.8064,388970.4833,3925383.853,6022.53208188568,0,120,3023.32574090802,0
114,645,49127,2020-04-06,16:00:00,-64.7328,-54.8064,388627.9437,3925375.398,6234.12945962378,0,104,3303.06148727518,0
115,640,49127,2020-04-06,04:00:00,-64.724266,-54.805332,389173.4697,3925507.747,5998.68521264055,0,122,2787.46119869334,0
116,652,49127,2020-04-07,16:00:00,-64.7328,-54.8064,388627.9437,3925375.398,6234.12945962378,0,104,3303.06148727518,0
117,656,49127,2020-04-08,16:00:00,-64.7328,-54.8064,388627.9437,3925375.398,6234.12945962378,0,104,3303.06148727518,0
118,662,49127,2020-04-09,16:00:00,-64.7328,-54.80747,388630.8868,3925256.351,6142.5533238176,0,113,3370.32884596816,0
119,670,49127,2020-04-10,16:00:00,-64.7328,-54.813866,388648.4805,3924544.742,5616.7082349472,0,137,3825.46911864753,0
120,677,49127,2020-04-11,16:00:00,-64.7328,-54.80747,388630.8868,3925256.351,6142.5533238176,0,113,3370.32884596816,0
121,685,49127,2020-04-12,16:00:00,-64.7328,-54.8064,388627.9437,3925375.398,6234.12945962378,0,104,3303.06148727518,0
122,691,49127,2020-04-13,16:00:00,-64.7328,-54.80747,388630.8868,3925256.351,6142.5533238176,0,113,3370.32884596816,0
123,695,49127,2020-04-14,04:00:00,-64.724266,-54.805332,389173.4697,3925507.747,5998.68521264055,0,122,2787.46119869334,0
124,699,49127,2020-04-15,04:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104,3360.30286247409,0
125,701,49127,2020-04-15,16:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113,3426.44518299395,0
126,705,49127,2020-04-16,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104,3360.30286247409,0
127,703,49127,2020-04-16,04:00:00,-64.72747,-54.805332,388967.5547,3925502.677,6118.03809469895,0,120,2953.08070847133,0
