X,id,date,hour,lon,lat,x,y,distppa,colonia,cluster
482,49127,2020-03-16,04:00:00,-64.67413,-54.866135,392557.2681,3918820.918,74.0876730270578,1,32
486,49127,2020-03-17,04:00:00,-64.67413,-54.865067,392554.4279,3918939.744,127.714101233182,1,32
490,49127,2020-03-17,16:00:00,-64.673065,-54.866135,392625.6114,3918822.551,15.3290596259826,1,32
494,49127,2020-03-18,04:00:00,-64.673065,-54.866135,392625.6114,3918822.551,15.3290596259826,1,32
498,49127,2020-03-18,16:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32
501,49127,2020-03-19,04:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32
507,49127,2020-03-19,16:00:00,-63.922134,-54.794666,440712.4439,3927667.709,47390.7208964977,0,89
512,49127,2020-03-20,16:00:00,-64.1824,-54.746666,423889.6015,3932757.392,33249.852034476,0,90
515,49127,2020-03-21,16:00:00,-64.67094,-54.8672,392764.8041,3918707.314,21.0774256553349,1,25
519,49127,2020-03-22,04:00:00,-64.672,-54.866135,392693.9547,3918824.183,12.0714185664722,1,25
522,49127,2020-03-22,16:00:00,-64.673065,-54.868267,392631.2777,3918585.344,128.524968140033,1,31
531,49127,2020-03-23,16:00:00,-64.6688,-54.864,392893.6459,3919066.622,141.152422703842,1,38
542,49127,2020-03-24,16:00:00,-64.66987,-54.855465,392802.3396,3920014.594,77.2260153545012,1,46
549,49127,2020-03-25,16:00:00,-64.67627,-54.856533,392394.3732,3919885.956,17.5017477191471,1,3
562,49127,2020-03-27,16:00:00,-64.66347,-54.87467,393263.8979,3917887.606,96.6973421466242,1,55
572,49127,2020-03-28,16:00:00,-64.673065,-54.861866,392614.266,3919297.522,70.3989933585239,1,2
567,49127,2020-03-28,04:00:00,-64.673065,-54.864,392619.9373,3919060.093,2.28913631792007,1,18
576,49127,2020-03-29,04:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32
581,49127,2020-03-29,16:00:00,-64.6816,-54.8576,392055.1048,3919759.041,167.795900352163,1,43
591,49127,2020-03-30,16:00:00,-64.544,-54.725334,400563.0427,3934678.521,16066.2783743408,0,100
592,49127,2020-03-31,04:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32
596,49127,2020-03-31,16:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32
601,49127,2020-04-01,04:00:00,-64.673065,-54.865067,392622.773,3918941.378,116.243825012706,1,32
607,49127,2020-04-01,16:00:00,-64.73067,-54.80747,388767.7705,3925259.733,6055.28149959817,0,103
613,49127,2020-04-02,16:00:00,-64.746666,-54.8544,387869.9525,3920012.871,4236.36022683494,0,107
620,49127,2020-04-03,16:00:00,-64.73493,-54.8064,388491.0564,3925372.011,6321.89672757756,0,113
630,49127,2020-04-04,16:00:00,-64.731735,-54.8064,388696.3873,3925377.089,6190.91310401939,0,104
625,49127,2020-04-04,04:00:00,-64.73067,-54.805332,388761.897,3925497.604,6241.74278103214,0,116
635,49127,2020-04-05,04:00:00,-64.72747,-54.8064,388970.4833,3925383.853,6022.53208188568,0,120
645,49127,2020-04-06,16:00:00,-64.7328,-54.8064,388627.9437,3925375.398,6234.12945962378,0,104
640,49127,2020-04-06,04:00:00,-64.724266,-54.805332,389173.4697,3925507.747,5998.68521264055,0,122
652,49127,2020-04-07,16:00:00,-64.7328,-54.8064,388627.9437,3925375.398,6234.12945962378,0,104
656,49127,2020-04-08,16:00:00,-64.7328,-54.8064,388627.9437,3925375.398,6234.12945962378,0,104
662,49127,2020-04-09,16:00:00,-64.7328,-54.80747,388630.8868,3925256.351,6142.5533238176,0,113
670,49127,2020-04-10,16:00:00,-64.7328,-54.813866,388648.4805,3924544.742,5616.7082349472,0,137
677,49127,2020-04-11,16:00:00,-64.7328,-54.80747,388630.8868,3925256.351,6142.5533238176,0,113
685,49127,2020-04-12,16:00:00,-64.7328,-54.8064,388627.9437,3925375.398,6234.12945962378,0,104
691,49127,2020-04-13,16:00:00,-64.7328,-54.80747,388630.8868,3925256.351,6142.5533238176,0,113
695,49127,2020-04-14,04:00:00,-64.724266,-54.805332,389173.4697,3925507.747,5998.68521264055,0,122
699,49127,2020-04-15,04:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104
701,49127,2020-04-15,16:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113
705,49127,2020-04-16,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104
703,49127,2020-04-16,04:00:00,-64.72747,-54.805332,388967.5547,3925502.677,6118.03809469895,0,120
709,49127,2020-04-17,16:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113
707,49127,2020-04-17,04:00:00,-64.72747,-54.805332,388967.5547,3925502.677,6118.03809469895,0,120
713,49127,2020-04-18,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104
711,49127,2020-04-18,04:00:00,-64.72747,-54.805332,388967.5547,3925502.677,6118.03809469895,0,120
717,49127,2020-04-19,16:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113
715,49127,2020-04-19,04:00:00,-64.72747,-54.805332,388967.5547,3925502.677,6118.03809469895,0,120
720,49127,2020-04-20,16:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113
718,49127,2020-04-20,04:00:00,-64.72213,-54.80213,389301.9936,3925867.372,6221.95169603192,0,141
724,49127,2020-04-21,16:00:00,-64.731735,-54.80747,388699.3286,3925258.043,6098.69003518306,0,103
722,49127,2020-04-21,04:00:00,-64.725334,-54.805332,389104.8314,3925506.058,6037.95171139138,0,153
726,49127,2020-04-22,16:00:00,-64.70827,-54.794666,390172.5839,3926719.606,6569.63414935959,0,128
729,49127,2020-04-23,16:00:00,-64.731735,-54.80747,388699.3286,3925258.043,6098.69003518306,0,103
731,49127,2020-04-24,16:00:00,-64.731735,-54.80747,388699.3286,3925258.043,6098.69003518306,0,103
734,49127,2020-04-25,16:00:00,-64.731735,-54.80747,388699.3286,3925258.043,6098.69003518306,0,103
732,49127,2020-04-25,04:00:00,-64.7232,-54.8032,389236.1479,3925746.635,6157.99602869069,0,141
738,49127,2020-04-26,16:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113
736,49127,2020-04-26,04:00:00,-64.7232,-54.805332,389241.9795,3925509.432,5960.02232165406,0,122
742,49127,2020-04-27,16:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113
740,49127,2020-04-27,04:00:00,-64.72747,-54.805332,388967.5547,3925502.677,6118.03809469895,0,120
745,49127,2020-04-28,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104
747,49127,2020-04-29,04:00:00,-64.7328,-54.805332,388625.0061,3925494.222,6326.44749883037,0,104
749,49127,2020-04-29,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104
752,49127,2020-04-30,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104
750,49127,2020-04-30,04:00:00,-64.72747,-54.8032,388961.7087,3925739.88,6311.06511664077,0,157
754,49127,2020-05-01,16:00:00,-64.733864,-54.80747,388562.5093,3925254.66,6186.8209716769,0,113
757,49127,2020-05-02,16:00:00,-64.7296,-54.8064,388833.5959,3925380.477,6105.66700561789,0,120
755,49127,2020-05-02,04:00:00,-64.725334,-54.804268,389101.9174,3925624.437,6135.15168162847,0,153
761,49127,2020-05-03,16:00:00,-64.7328,-54.805332,388625.0061,3925494.222,6326.44749883037,0,104
759,49127,2020-05-03,04:00:00,-64.7264,-54.805332,389036.3216,3925504.371,6077.66427423681,0,153
765,49127,2020-05-04,16:00:00,-64.731735,-54.805332,388693.4515,3925495.913,6283.86491036436,0,116
763,49127,2020-05-04,04:00:00,-64.724266,-54.804268,389170.5576,3925626.127,6096.51096533897,0,122
768,49127,2020-05-05,16:00:00,-64.731735,-54.8064,388696.3873,3925377.089,6190.91310401939,0,104
772,49127,2020-05-06,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104
770,49127,2020-05-06,04:00:00,-64.725334,-54.804268,389101.9174,3925624.437,6135.15168162847,0,153
776,49127,2020-05-07,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104
774,49127,2020-05-07,04:00:00,-64.725334,-54.805332,389104.8314,3925506.058,6037.95171139138,0,153
778,49127,2020-05-08,04:00:00,-64.72747,-54.805332,388967.5547,3925502.677,6118.03809469895,0,120
780,49127,2020-05-08,16:00:00,-64.7424,-54.80213,387999.1778,3925835.175,6995.23034170817,0,159
783,49127,2020-05-09,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104
781,49127,2020-05-09,04:00:00,-64.725334,-54.805332,389104.8314,3925506.058,6037.95171139138,0,153
785,49127,2020-05-10,04:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104
787,49127,2020-05-10,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104
791,49127,2020-05-11,16:00:00,-64.733864,-54.8064,388559.5643,3925373.707,6277.75263329833,0,104
