id,date,hour,lon,lat,X,Y
49178,2020-01-31,16:00:00,-64.67733,-54.8544,392320.6521,3920121.645
49152,2020-02-01,04:00:00,-64.67094,-54.871468,392776.1332,3918232.454
49180,2020-02-01,04:00:00,-64.6816,-54.8608,392063.6522,3919403.009
49178,2020-02-01,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327
49127,2020-02-01,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592
49152,2020-02-01,16:00:00,-64.67094,-54.865067,392759.1424,3918944.633
49138,2020-02-01,16:00:00,-64.6752,-54.861866,392477.2441,3919294.247
49180,2020-02-01,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009
49178,2020-02-01,16:00:00,-64.673065,-54.853333,392591.5901,3920246.907
49152,2020-02-02,04:00:00,-64.67094,-54.8672,392764.8041,3918707.314
49178,2020-02-02,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327
49127,2020-02-02,16:00:00,-64.6592,-54.8736,393535.0349,3918013.154
49152,2020-02-02,16:00:00,-64.67094,-54.8704,392773.2982,3918351.28
49138,2020-02-02,16:00:00,-64.67733,-54.862934,392343.3887,3919172.15
49180,2020-02-02,16:00:00,-64.680534,-54.858665,392126.3695,3919642.191
49178,2020-02-02,16:00:00,-64.67733,-54.855465,392323.4893,3920003.153
49152,2020-02-03,04:00:00,-64.67094,-54.8672,392764.8041,3918707.314
49180,2020-02-03,04:00:00,-64.6816,-54.859734,392060.8048,3919521.612
49178,2020-02-03,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327
49127,2020-02-03,16:00:00,-64.6592,-54.8736,393535.0349,3918013.154
49138,2020-02-03,16:00:00,-64.67733,-54.862934,392343.3887,3919172.15
49152,2020-02-03,16:00:00,-64.67413,-54.862934,392548.7556,3919177.063
49178,2020-02-03,16:00:00,-64.673065,-54.853333,392591.5901,3920246.907
49180,2020-02-03,16:00:00,-64.666664,-54.850132,392994.013,3920612.847
49138,2020-02-04,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604
49178,2020-02-04,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327
49127,2020-02-04,16:00:00,-64.658134,-54.8736,393603.4299,3918014.774
49138,2020-02-04,16:00:00,-64.67947,-54.862934,392206.0496,3919168.859
49180,2020-02-04,16:00:00,-64.67947,-54.8608,392200.3566,3919406.288
49152,2020-02-04,16:00:00,-64.680534,-54.8576,392123.5267,3919760.683
49178,2020-02-04,16:00:00,-64.67627,-54.853333,392385.8534,3920241.989
49138,2020-02-05,04:00:00,-64.6784,-54.861866,392271.8718,3919289.331
49178,2020-02-05,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327
49127,2020-02-05,16:00:00,-64.658134,-54.8736,393603.4299,3918014.774
49152,2020-02-05,16:00:00,-64.67947,-54.861866,392203.2004,3919287.685
49138,2020-02-05,16:00:00,-64.6784,-54.861866,392271.8718,3919289.331
49178,2020-02-05,16:00:00,-64.6784,-54.859734,392266.1878,3919526.538
