,id,date,hour,lon,lat,X,Y,distppa,colonia
125,49127,2020-01-29,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1
126,49138,2020-01-29,16:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1
127,49180,2020-01-29,16:00:00,-64.6816,-54.859734,392060.8048,3919521.612,55.9984188650191,1
128,49178,2020-01-29,16:00:00,-64.67733,-54.8576,392329.1773,3919765.613,0.0726034828750366,1
129,49127,2020-01-30,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1
130,49152,2020-01-30,16:00:00,-64.67094,-54.869335,392770.4712,3918469.773,225.677529687475,1
131,49138,2020-01-30,16:00:00,-64.6752,-54.862934,392480.086,3919175.421,20.7478309171573,1
132,49180,2020-01-30,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009,39.2051224232796,1
133,49178,2020-01-30,16:00:00,-64.67733,-54.8576,392329.1773,3919765.613,0.0726034828750366,1
134,49138,2020-01-31,04:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1
135,49178,2020-01-31,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327,78.731241039509,1
136,49127,2020-01-31,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1
137,49152,2020-01-31,16:00:00,-64.67094,-54.871468,392776.1332,3918232.454,146.835478546794,1
138,49138,2020-01-31,16:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1
139,49180,2020-01-31,16:00:00,-64.6816,-54.859734,392060.8048,3919521.612,55.9984188650191,1
140,49178,2020-01-31,16:00:00,-64.67733,-54.8544,392320.6521,3920121.645,238.056279893318,1
141,49152,2020-02-01,04:00:00,-64.67094,-54.871468,392776.1332,3918232.454,146.835478546794,1
142,49180,2020-02-01,04:00:00,-64.6816,-54.8608,392063.6522,3919403.009,39.2051224232796,1
143,49178,2020-02-01,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327,78.731241039509,1
144,49127,2020-02-01,16:00:00,-64.66026,-54.87253,393464.2027,3918130.592,187.518936687126,1
145,49152,2020-02-01,16:00:00,-64.67094,-54.865067,392759.1424,3918944.633,36.2924384651368,1
146,49138,2020-02-01,16:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1
147,49180,2020-02-01,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009,39.2051224232796,1
148,49178,2020-02-01,16:00:00,-64.673065,-54.853333,392591.5901,3920246.907,262.939005928729,1
149,49152,2020-02-02,04:00:00,-64.67094,-54.8672,392764.8041,3918707.314,21.0774256553349,1
150,49178,2020-02-02,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327,78.731241039509,1
151,49127,2020-02-02,16:00:00,-64.6592,-54.8736,393535.0349,3918013.154,71.7511793980362,1
152,49152,2020-02-02,16:00:00,-64.67094,-54.8704,392773.2982,3918351.28,265.683795101791,1
153,49138,2020-02-02,16:00:00,-64.67733,-54.862934,392343.3887,3919172.15,1.84590333875455,1
154,49180,2020-02-02,16:00:00,-64.680534,-54.858665,392126.3695,3919642.191,46.9879661166844,1
155,49178,2020-02-02,16:00:00,-64.67733,-54.855465,392323.4893,3920003.153,154.370300093044,1
156,49152,2020-02-03,04:00:00,-64.67094,-54.8672,392764.8041,3918707.314,21.0774256553349,1
157,49180,2020-02-03,04:00:00,-64.6816,-54.859734,392060.8048,3919521.612,55.9984188650191,1
158,49178,2020-02-03,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327,78.731241039509,1
159,49127,2020-02-03,16:00:00,-64.6592,-54.8736,393535.0349,3918013.154,71.7511793980362,1
160,49138,2020-02-03,16:00:00,-64.67733,-54.862934,392343.3887,3919172.15,1.84590333875455,1
161,49152,2020-02-03,16:00:00,-64.67413,-54.862934,392548.7556,3919177.063,17.0309104421846,1
162,49178,2020-02-03,16:00:00,-64.673065,-54.853333,392591.5901,3920246.907,262.939005928729,1
163,49180,2020-02-03,16:00:00,-64.666664,-54.850132,392994.013,3920612.847,276.23414532521,1
164,49138,2020-02-04,04:00:00,-64.67627,-54.861866,392408.5727,3919292.604,8.11441890525213,1
165,49178,2020-02-04,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327,78.731241039509,1
166,49127,2020-02-04,16:00:00,-64.658134,-54.8736,393603.4299,3918014.774,94.4752840635684,1
167,49138,2020-02-04,16:00:00,-64.67947,-54.862934,392206.0496,3919168.859,1.05464608863886,1
168,49180,2020-02-04,16:00:00,-64.67947,-54.8608,392200.3566,3919406.288,37.4401141962294,1
169,49152,2020-02-04,16:00:00,-64.680534,-54.8576,392123.5267,3919760.683,117.71712145324,1
170,49178,2020-02-04,16:00:00,-64.67627,-54.853333,392385.8534,3920241.989,317.91575034342,1
171,49138,2020-02-05,04:00:00,-64.6784,-54.861866,392271.8718,3919289.331,2.02337731282659,1
172,49178,2020-02-05,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327,78.731241039509,1
173,49127,2020-02-05,16:00:00,-64.658134,-54.8736,393603.4299,3918014.774,94.4752840635684,1
174,49152,2020-02-05,16:00:00,-64.67947,-54.861866,392203.2004,3919287.685,6.36743167842134,1
175,49138,2020-02-05,16:00:00,-64.6784,-54.861866,392271.8718,3919289.331,2.02337731282659,1
176,49178,2020-02-05,16:00:00,-64.6784,-54.859734,392266.1878,3919526.538,64.2543026576429,1
177,49180,2020-02-05,16:00:00,-64.6816,-54.858665,392057.9495,3919640.549,92.9528730618875,1
178,49152,2020-02-06,04:00:00,-64.673065,-54.8672,392628.4419,3918704.059,68.8241993309245,1
179,49138,2020-02-06,04:00:00,-64.6784,-54.861866,392271.8718,3919289.331,2.02337731282659,1
180,49180,2020-02-06,04:00:00,-64.6816,-54.859734,392060.8048,3919521.612,55.9984188650191,1
181,49178,2020-02-06,04:00:00,-64.67733,-54.856533,392326.3346,3919884.327,78.731241039509,1
182,49127,2020-02-06,16:00:00,-64.658134,-54.8736,393603.4299,3918014.774,94.4752840635684,1
183,49180,2020-02-06,16:00:00,-64.6752,-54.866135,392488.604,3918819.276,140.634432980177,1
184,49138,2020-02-06,16:00:00,-64.6816,-54.8608,392063.6522,3919403.009,39.2051224232796,1
185,49178,2020-02-06,16:00:00,-64.67947,-54.856533,392188.9738,3919881.036,159.620518864455,1
186,49152,2020-02-06,16:00:00,-64.673065,-54.855465,392597.2556,3920009.7,30.5312344829691,1
187,49178,2020-02-07,04:00:00,-64.67947,-54.856533,392188.9738,3919881.036,159.620518864455,1
188,49127,2020-02-07,16:00:00,-64.65387,-54.87467,393879.8214,3917902.194,44.1215317099679,1
189,49180,2020-02-07,16:00:00,-64.67947,-54.8576,392191.8201,3919762.321,87.9395025885033,1
190,49178,2020-02-07,16:00:00,-64.658134,-54.85227,393547.2493,3920387.967,691.245250140773,0
191,49152,2020-02-07,16:00:00,-64.65707,-54.85227,393615.552,3920389.583,749.271363341148,0
192,49138,2020-02-08,04:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1
193,49178,2020-02-08,04:00:00,-64.67094,-54.85227,392725.178,3920368.433,283.448949800735,1
194,49180,2020-02-08,16:00:00,-64.658134,-54.875732,393609.0462,3917777.566,24.757600317679,1
195,49127,2020-02-08,16:00:00,-64.66026,-54.8736,393467.0249,3918011.543,73.5817611382097,1
196,49152,2020-02-08,16:00:00,-64.66987,-54.864,392824.9781,3919064.986,111.807028923392,1
197,49138,2020-02-08,16:00:00,-64.67627,-54.862934,392411.4164,3919173.778,44.0427667206927,1
198,49178,2020-02-08,16:00:00,-64.66133,-54.85227,393342.0844,3920383.106,531.85991339582,0
199,49178,2020-02-09,04:00:00,-64.65493,-54.878933,393823.0216,3917426.281,62.1458835512454,1
200,49127,2020-02-09,04:00:00,-64.6592,-54.87253,393532.2145,3918132.204,186.403852720459,1
201,49152,2020-02-09,04:00:00,-64.67094,-54.864,392756.3102,3919063.348,59.7371502212687,1
202,49138,2020-02-09,04:00:00,-64.6752,-54.861866,392477.2441,3919294.247,15.2949134950136,1
203,49180,2020-02-09,04:00:00,-64.6816,-54.859734,392060.8048,3919521.612,55.9984188650191,1
