"","cluster","lon","lat","time","colonia","dist.col","frequency","no.ind"
"134",134,-64.2624,-54.734932,"day",0,29208.7047626203,1,1
"135",135,-64.234665,-54.701866,"day",0,32529.9784033869,1,1
"136",136,-64.13333,-54.7712,"night",0,35053.9781715172,1,1
"137",137,-64.7328,-54.813866,"day",0,5616.7082349472,1,1
"138",138,-64.72107,-54.8,"both",0,6390.39951602914,2,1
"139",139,-63.81333,-54.754135,"both",0,55257.0432017605,2,1
"140",140,-64.263466,-54.676266,"day",0,32556.5144429677,1,1
"141",141,-64.724266,-54.8032,"both",0,6195.42642483572,4,2
"142",142,-63.800533,-54.7264,"day",0,56927.1607032186,1,1
"143",143,-64.26133,-54.674133,"both",0,32808.6619510227,2,2
"144",144,-64.24,-54.702934,"night",0,32173.5646630003,2,1
"145",145,-64.68587,-54.805332,"day",0,5024.56676141782,1,1
"146",146,-63.808,-54.753067,"day",0,55619.2448548158,1,1
"147",147,-64.2432,-54.702934,"day",0,31996.3811991495,1,1
"148",148,-64.717865,-54.8,"day",0,6289.65844571313,1,1
"149",149,-63.808,-54.718933,"both",0,56733.5903752792,2,1
"150",150,-64.6752,-54.801067,"night",0,5415.68073886388,1,1
"151",151,-64.64854,-54.776535,"day",0,8265.71570980216,1,1
"152",152,-64.72107,-54.804268,"night",0,5984.08712967494,3,1
"153",153,-64.725334,-54.805332,"both",0,6037.95171139138,14,2
"154",154,-64.701866,-54.7968,"day",0,6206.20107857777,1,1
"155",155,-64.70827,-54.8,"day",0,6020.18616618338,2,1
"156",156,-64.724266,-54.8064,"day",0,5901.25129233086,1,1
"157",157,-64.72747,-54.8032,"night",0,6311.06511664077,1,1
"158",158,-64.70506,-54.8,"day",0,5941.59983578817,1,1
"159",159,-64.7424,-54.80213,"day",0,6995.23034170817,1,1
"160",160,-64.695465,-54.8064,"day",0,5062.68619604186,1,1
"161",161,-64.72853,-54.8128,"day",0,5514.6697375983,1,1
"162",162,-64.709335,-54.795734,"both",0,6484.54579555552,2,2
"163",163,-64.709335,-54.792534,"day",0,6815.63526969716,1,1
"164",164,-64.2464,-54.7456,"both",0,29650.4433771159,5,1
"165",165,-64.2368,-54.7456,"day",0,30205.7919970097,2,1
"166",166,-64.25813,-54.673065,"both",0,33045.15886056,4,1
"167",167,-64.24533,-54.699734,"day",0,32063.4603809559,1,1
"168",168,-64.2208,-54.848,"day",0,27450.0751942444,1,1
"169",169,-64.2176,-54.853333,"night",0,27578.5852048764,2,1
"170",170,-64.2208,-54.842667,"day",0,27538.2194407579,1,1
"171",171,-64.512,-54.792534,"night",0,12030.2720509374,1,1
"172",172,-64.5664,-54.8128,"day",0,7869.45023334691,1,1
"173",173,-64.576,-54.887466,"day",0,4448.86268159805,1,1
"174",174,-64.52053,-54.772266,"day",0,12948.4742053802,2,1
"175",175,-64.5184,-54.776535,"night",0,12741.927190553,1,1
"176",176,-64.31467,-54.736,"day",0,26169.1788452976,1,1
"177",177,-64.25066,-54.7456,"night",0,29398.5125558626,1,1
"178",178,-64.1824,-54.837334,"day",0,30068.2278053988,1,1
"179",179,-64.20693,-54.808533,"day",0,29245.5521481784,1,1
"180",180,-64.67627,-54.906666,"day",0,2914.20559054961,1,1
"181",181,-64.1824,-54.833065,"day",0,30150.6976128039,1,1
"182",182,-64.717865,-54.8064,"day",0,5673.57908118848,1,1
"183",183,-64.69334,-54.811733,"day",0,4456.24773069481,1,1
"184",184,-64.71893,-54.8032,"day",0,6013.55529259043,1,1
